tsne_1,tsne_2,label
58.791473,3.9303923,J
65.93817,0.93273175,J
63.54943,2.3784156,J
61.37994,1.1023762,J
62.280426,-0.13474588,J
56.872578,3.086438,J
59.011692,1.3522156,J
63.46709,2.6625516,J
65.83178,0.8676171,J
58.537937,1.0962621,J
58.92715,3.9897714,J
61.956028,0.08045852,J
59.888798,2.950692,J
65.188934,1.4336379,J
57.826656,2.0047755,J
63.75295,4.1458464,J
65.55777,-0.6873251,J
61.875233,0.31743163,J
60.558537,0.9389557,J
61.015728,1.3344932,J
57.360916,2.2346046,J
59.931408,2.2228012,J
59.633224,2.4990754,J
64.20913,2.319209,J
60.237823,1.189463,J
57.836334,2.2839346,J
57.982918,2.126389,J
64.015144,2.4267144,J
59.699364,2.3792713,J
63.84072,2.422864,J
65.69296,-0.074007586,J
65.502426,-0.13129017,J
58.817223,2.1557953,J
-12.5277195,18.727877,K
-12.064023,18.759815,K
-11.96708,18.964136,K
-11.504378,19.468407,K
-11.700782,19.236177,K
-11.649959,19.199274,K
-11.650432,18.941286,K
-11.658747,18.340809,K
-10.637895,20.053455,K
-11.662036,18.338734,K
-10.839135,19.254047,K
-11.401346,18.348782,K
-10.828247,18.96173,K
-11.631207,18.633917,K
-10.753313,18.857668,K
-11.254822,18.22197,K
-11.198798,18.332794,K
-11.451843,19.090515,K
-11.630533,18.637402,K
-11.04397,19.435732,K
-11.357931,18.29752,K
-11.286291,19.34261,K
-10.9174595,18.51456,K
-11.08175,19.117857,K
-10.91163,18.494223,K
-11.473539,19.321993,K
-11.005502,18.338772,K
-10.836435,18.790812,K
-10.948838,19.21075,K
-10.738984,18.673876,K
0.45576942,14.291704,K
-2.5869017,9.637604,K
-2.505413,9.579764,K
-0.87734777,8.634143,K
-2.795354,9.548428,K
-1.8499433,11.018202,K
0.45016447,12.983557,K
0.7142367,13.159382,K
-1.9259443,10.824477,K
-0.031472884,13.41115,K
-0.023811668,9.433214,K
0.32408965,10.878899,K
-0.09671628,13.105009,K
0.56168664,11.01095,K
0.49962223,13.62742,K
-0.42225897,9.897474,K
0.19136357,8.717453,K
-1.5704987,11.943291,K
-0.37014827,12.97537,K
0.4107961,9.999198,K
-0.35418853,12.674332,K
0.2387475,10.063998,K
